incident_name,county,acres_burned,longitude,latitude,incident_type,date_extinguished,date_created
Hollister Fire,Santa Barbara,156.0,-120.29378999999999,34.47438,Wildfire,5/9/2020,5/7/2020
Candy Fire,Butte,17.0,-121.47273,39.42208,Wildfire,5/8/2020,5/8/2020
Gilman Fire,Riverside,20.0,-117.02411399999998,33.861053999999996,Wildfire,5/18/2020,5/18/2020
Spanish Fire ,Napa,20.0,-122.40363400000001,38.697834,Wildfire,5/23/2020,5/22/2020
Range Fire,San Luis Obispo,5000.0,-120.70523999999999,35.34237,Wildfire,5/28/2020,5/27/2020
Harley Fire,Riverside,60.0,-117.34933999999998,33.83167,Wildfire,5/28/2020,5/28/2020
Horn Fire ,Lassen,37.0,-120.288882,40.809323,Wildfire,6/2/2020,6/2/2020
Smoketree Fire,Riverside,129.0,-116.524014,33.782532,Wildfire,6/7/2020,6/2/2020
Wildlife Fire,Solano,300.0,-122.042199,38.232281,Wildfire,6/4/2020,6/3/2020
Brock Fire,Shasta,15.0,-122.09793300000001,40.837885,Wildfire,6/4/2020,6/4/2020
Colleen Fire,Santa Clara,126.0,-121.851895,37.229703,Wildfire,6/7/2020,6/4/2020
Karchner Fire,Placer,39.0,-121.340239,38.98487,Wildfire,6/5/2020,6/5/2020
Lakeville Fire,Sonoma,141.0,-122.54981599999999,38.224849,Wildfire,6/6/2020,6/5/2020
McGary Fire ,Solano,79.0,-122.15631299999998,38.196892999999996,Wildfire,6/5/2020,6/5/2020
Gulch Fire,Sonoma,107.0,-122.536406,38.216134000000004,Wildfire,6/8/2020,6/6/2020
Quail Fire,Solano,1837.0,-122.03820800000001,38.470809,Wildfire,6/10/2020,6/6/2020
Willow Fire ,Contra Costa,100.0,-122.00281100000001,37.994368,Wildfire,6/7/2020,6/6/2020
Hunters Fire,Mariposa,85.0,-120.21545400000001,37.61955,Wildfire,6/10/2020,6/7/2020
Sperry Fire,Stanislaus,80.0,-121.16483000000001,37.463636,Wildfire,6/8/2020,6/8/2020
Grand Fire,Riverside,27.0,-117.37581000000002,33.638067,Wildfire,6/9/2020,6/8/2020
Bradley Fire ,Monterey,230.0,-120.81508999999998,35.94979,Wildfire,6/9/2020,6/8/2020
Sierra Fire,Riverside,100.0,-117.46036000000001,33.82925,Wildfire,6/9/2020,6/8/2020
Oak Fire,Riverside,20.0,-116.89655,33.78275,Wildfire,6/8/2020,6/8/2020
Vineyard Fire ,Mendocino,151.0,-123.21318000000001,38.89695,Wildfire,6/10/2020,6/9/2020
India Fire,San Diego,1100.0,-117.47166000000001,33.37579,Wildfire,6/12/2020,6/9/2020
Elizabeth Fire,Ventura,289.0,-119.17808000000001,34.29475,Wildfire,6/12/2020,6/10/2020
Soda Fire,San Luis Obispo,1672.0,-120.00521,35.351459999999996,Wildfire,6/11/2020,6/10/2020
Lime Fire,Ventura,803.0,-118.77346999999999,34.46182,Wildfire,6/17/2020,6/10/2020
Skyline Fire,San Diego,100.0,-116.7862,32.73044,Wildfire,6/14/2020,6/11/2020
Border 7 Fire,San Diego,90.0,-116.690712,32.580882,Wildfire,6/13/2020,6/11/2020
Watt Fire,Placer,40.0,-121.378879,38.733421,Wildfire,6/11/2020,6/11/2020
Grant Fire,Sacramento,5042.0,-121.201927,38.520981,Wildfire,6/17/2020,6/12/2020
Hog Fire,Fresno,533.0,-119.36572,36.822759999999995,Wildfire,7/8/2020,6/12/2020
Cornetts Fire,Mariposa,191.0,-120.08521999999999,37.40827,Wildfire,6/16/2020,6/13/2020
Dawson Fire ,Riverside,10.0,-117.461925,33.776033,Wildfire,6/13/2020,6/13/2020
Hopland Fire,Mendocino,34.0,-80.49163,39.14783,Wildfire,6/14/2020,6/13/2020
Avila Fire,San Luis Obispo,445.0,-120.69958999999999,35.17977,Wildfire,6/19/2020,6/15/2020
Bitter Fire ,San Benito,895.0,-120.92925,36.3011,Wildfire,6/21/2020,6/16/2020
Riata Fire ,San Luis Obispo,18.0,-120.56823,35.40953,Wildfire,6/17/2020,6/16/2020
Walker Fire,Calaveras,1455.0,-120.72958,38.07741,Wildfire,6/20/2020,6/16/2020
Nelson Fire ,Butte,95.0,-121.60037,39.52408,Wildfire,6/17/2020,6/17/2020
Liberty Fire,San Joaquin,89.0,-121.20828,38.234320000000004,Wildfire,6/18/2020,6/17/2020
Ridge Fire,Monterey,83.0,-121.42113,35.9497,Wildfire,6/22/2020,6/17/2020
Baker Fire,Kern,165.0,-118.6894,35.27678,Wildfire,6/18/2020,6/17/2020
Nelson Fire,Placer,110.0,-121.33956,38.89178,Wildfire,6/18/2020,6/18/2020
Fork Fire,Tulare,130.0,-118.845123,36.37085,Wildfire,6/22/2020,6/18/2020
Teddy Fire,Butte,13.0,-121.45371999999999,39.37577,Wildfire,6/18/2020,6/18/2020
Springs Fire,Tulare,217.0,-118.8613,35.891329999999996,Wildfire,6/22/2020,6/19/2020
Honcut Fire,Butte,89.0,-121.53976000000002,39.36894,Wildfire,6/20/2020,6/20/2020
Quarter Fire,Tuolumne,10.0,-120.20316000000001,38.082640000000005,Wildfire,7/7/2020,6/21/2020
Hunter Fire,Monterey,195.0,-121.08753,35.90835,Wildfire,6/25/2020,6/21/2020
Stage Fire,Monterey,52.0,-121.57406999999999,36.69845,Wildfire,6/22/2020,6/21/2020
Grade Fire ,Tulare,1050.0,-119.19677,36.5537,Wildfire,6/26/2020,6/22/2020
Rico Fire ,Monterey,338.0,-120.87858,35.9789,Wildfire,6/23/2020,6/22/2020
River Fire,San Luis Obispo,15.0,-120.68326,35.629059999999996,Wildfire,6/23/2020,6/22/2020
Sycamore Fire,Fresno,19.0,-119.33438999999998,36.97511,Wildfire,6/26/2020,6/23/2020
R-2 Fire,Lassen,563.0,-120.28147,40.43203,Wildfire,6/26/2020,6/23/2020
R-3 Fire,Lassen,210.0,-120.04635,40.44793,Wildfire,6/26/2020,6/24/2020
58 Fire,Riverside,12.0,-115.96593999999999,33.27665,Wildfire,6/27/2020,6/24/2020
Diablo Fire,Stanislaus,202.0,-121.18355,37.46265,Wildfire,6/26/2020,6/25/2020
Bend Fire,San Luis Obispo,263.0,-119.88048,35.30742,Wildfire,6/28/2020,6/25/2020
Aurora Fire,Mono,280.0,-119.00289,38.22554,Wildfire,7/2/2020,6/26/2020
Poeville Fire,State of Nevada,2975.0,-119.81098,39.325959999999995,Wildfire,7/6/2020,6/27/2020
Pass Fire,Merced,2192.0,-121.21911999999999,37.06641,Wildfire,7/3/2020,6/28/2020
Gage Fire,San Luis Obispo,33.0,-120.96758999999999,35.69993,Wildfire,6/28/2020,6/28/2020
Muck Fire ,Lassen,12.0,-121.2199939,41.0336731,Wildfire,6/29/2020,6/29/2020
Avacado Fire,Butte,136.0,-121.4319,39.3784,Wildfire,7/3/2020,6/30/2020
Flat Fire,Trinity,62.0,-123.437051,40.791509000000005,Wildfire,7/24/2020,6/30/2020
Bena Fire,Kern,2900.0,-118.70273200000001,35.310132,Wildfire,7/3/2020,7/1/2020
Rowher Fire,Los Angeles,648.0,-118.324601,34.542742,Wildfire,7/5/2020,7/1/2020
Bonadelle Fire,Madera,597.0,-119.9252132,36.967854200000005,Wildfire,7/3/2020,7/2/2020
Soda Fire ,San Luis Obispo,157.0,-120.053275,35.393889,Wildfire,7/5/2020,7/3/2020
Mount R Fire,San Bernardino,62.0,-117.124353,34.182435999999996,Wildfire,7/6/2020,7/3/2020
Sheridan Fire,Alameda,108.0,-121.876277,37.536015,Wildfire,7/5/2020,7/4/2020
Park Fire,Santa Clara,343.0,-121.56750500000001,37.166733,Wildfire,7/6/2020,7/5/2020
Crews Fire,Santa Clara,5513.0,-121.50153200000001,37.034839,Wildfire,7/13/2020,7/5/2020
Soledad Fire,Los Angeles,1525.0,-118.328877,34.467915000000005,Wildfire,7/10/2020,7/5/2020
Patterson Fire,San Joaquin,150.0,-121.53523999999999,37.719840000000005,Wildfire,7/6/2020,7/6/2020
Mountain Meadow Fire ,Solano,75.0,-122.12447,38.21614,Wildfire,7/9/2020,7/6/2020
Nail Fire,Colusa,25.0,-122.65813,39.35498,Wildfire,7/9/2020,7/7/2020
Tripp Fire ,Riverside,10.0,-116.7464168,33.551838000000004,Wildfire,7/9/2020,7/9/2020
Alum Fire,Santa Clara,31.0,-121.79348999999999,37.377309999999994,Wildfire,7/11/2020,7/11/2020
Power Fire,Madera,108.0,-119.50307,37.1487,Wildfire,7/15/2020,7/11/2020
Elliot Fire,Riverside,2.0,-117.10842099999999,33.623968,Wildfire,7/13/2020,7/13/2020
Robinson Fire,Butte,33.0,-121.37993999999999,39.43227,Wildfire,7/15/2020,7/13/2020
Casino Fire,Riverside,91.0,-116.83551999999999,33.48429,Wildfire,7/15/2020,7/13/2020
Mineral Fire,Fresno,29667.0,-120.52193,36.09493,Wildfire,7/26/2020,7/13/2020
Coyote Fire,San Benito,1508.0,-121.04401000000001,36.653,Wildfire,7/18/2020,7/15/2020
Ben Fire,Mariposa,48.0,-119.95806999999999,37.423190000000005,Wildfire,7/18/2020,7/15/2020
Valley Fire ,Yuba,500.0,-121.33588999999999,39.10112,Wildfire,7/15/2020,7/15/2020
Hollow Fire,Alameda,253.0,-121.59374,37.640440000000005,Wildfire,7/19/2020,7/16/2020
Pitzer Fire,San Bernardino,119.0,-116.97556999999999,34.39464,Wildfire,7/20/2020,7/17/2020
Badger Fire,Siskiyou,557.0,-122.69296000000001,41.79319,Wildfire,7/28/2020,7/18/2020
Hog Fire,Lassen,9564.0,-120.86375,40.420885999999996,Wildfire,8/17/2020,7/18/2020
Platina Fire,Shasta,340.0,-122.792645,40.462621,Wildfire,7/27/2020,7/19/2020
Gold Fire,Lassen,22634.0,-120.92329299999999,41.11037,Wildfire,8/12/2020,7/20/2020
Milepost 21 Fire,Humboldt,100.0,-123.6986222,41.1849445,Wildfire,8/18/2020,7/20/2020
Feather Fire,Butte,30.0,-121.604579,39.506597,Wildfire,7/21/2020,7/20/2020
Holland Fire ,Contra Costa,75.0,-121.62023799999999,37.977309000000005,Wildfire,7/20/2020,7/20/2020
Easton Fire,San Bernardino,71.0,-117.19214199999999,34.135626,Wildfire,7/21/2020,7/20/2020
Rabbit Fire ,Madera,135.0,-119.932391,37.118075,Wildfire,7/21/2020,7/20/2020
Iris Fire,Mono,120.0,-118.71113500000001,37.518879,Wildfire,8/12/2020,7/21/2020
July Complex,"Siskiyou, Modoc",83261.0,-121.477,41.699,Wildfire,8/20/2020,7/24/2020
Jack Fire,Riverside,145.0,-117.033124,33.93327,Wildfire,7/25/2020,7/24/2020
Hill Fire,Colusa,138.0,-122.35966299999998,39.013591,Wildfire,7/25/2020,7/24/2020
Karen Fire,Riverside,250.0,-117.429598,34.028116,Wildfire,7/28/2020,7/25/2020
Ione Fire ,Sacramento,51.0,-121.044895,38.420382000000004,Wildfire,7/26/2020,7/26/2020
Ridge Fire,Los Angeles,321.0,-118.72004,34.75844,Wildfire,7/30/2020,7/27/2020
Lincoln Fire,Humboldt,25.0,-124.19953999999998,40.78804,Wildfire,7/31/2020,7/27/2020
Branch Fire,San Luis Obispo,3022.0,-120.00521,35.351459999999996,Wildfire,8/1/2020,7/28/2020
Brook Fire,San Bernardino,185.0,-117.45478999999999,34.25143,Wildfire,8/1/2020,7/29/2020
Clay Fire,Sacramento,730.0,-121.17197,38.403290000000005,Wildfire,7/30/2020,7/29/2020
Rabbit Fire,Riverside,104.0,-117.03446100000001,33.934137,Wildfire,7/31/2020,7/30/2020
Dam Fire,Los Angeles,220.0,-117.889503,34.173629999999996,Wildfire,8/14/2020,7/30/2020
Sheep Fire,Kern,233.0,-118.7933,35.143570000000004,Wildfire,7/31/2020,7/30/2020
Stump Fire,Tehama,684.0,-121.6415,40.34659,Wildfire,9/14/2020,8/1/2020
Castaic Fire,Los Angeles,178.0,-118.59698999999999,34.51853,Wildfire,9/14/2020,8/1/2020
Pond Fire,San Luis Obispo,1962.0,-120.47346,35.43128,Wildfire,8/9/2020,8/1/2020
Sophia Fire,El Dorado,36.0,-121.10329899999999,38.686478,Wildfire,8/2/2020,8/2/2020
Water Fire,Riverside,52.0,-116.641846,33.924085999999996,Wildfire,8/4/2020,8/2/2020
North Fire,Lassen,6882.0,-120.44811000000001,40.36764,Wildfire,8/10/2020,8/2/2020
Sites Fire ,Colusa,560.0,-122.48525,39.31313,Wildfire,8/5/2020,8/2/2020
Post Fire,Los Angeles,120.0,-118.21608,34.044470000000004,Wildfire,8/4/2020,8/2/2020
Beale Fire,Yuba,600.0,-121.38178,39.11307,Wildfire,8/3/2020,8/2/2020
Elsmere Fire,Los Angeles,200.0,-118.49731000000001,34.3428,Wildfire,8/6/2020,8/3/2020
Stagecoach Fire,Kern,7760.0,-118.53361000000001,35.430440000000004,Wildfire,8/18/2020,8/3/2020
Trimmer Fire,Fresno,594.0,-119.2439,36.90933,Wildfire,8/20/2020,8/4/2020
Pass Fire,San Luis Obispo,280.0,-120.40456999999999,35.61521,Wildfire,8/5/2020,8/4/2020
Fort Fire,Kern,277.0,-118.92967,34.93929,Wildfire,8/7/2020,8/6/2020
Texas Fire,Los Angeles,210.0,-118.46115,-118.46115,Wildfire,9/14/2020,8/6/2020
Mina Fire,Mendocino,177.0,-123.262437,39.82454,Wildfire,8/12/2020,8/10/2020
Duluth Fire,Placer,65.0,-121.318472,38.81111,Wildfire,8/11/2020,8/10/2020
R-1 Fire,Lassen,285.0,-120.549595,40.590714,Wildfire,8/12/2020,8/11/2020
Soda Fire,Kern,424.0,-119.44497700000001,34.962524,Wildfire,8/12/2020,8/12/2020
Lake Fire,Los Angeles,31089.0,-118.45200000000001,34.679,Wildfire,9/28/2020,8/12/2020
Carrizo Fire,San Luis Obispo,183.0,-119.98756499999999,35.308259,Wildfire,8/12/2020,8/12/2020
Meiss Fire,Sacramento,512.0,-121.172572,38.474502,Wildfire,8/14/2020,8/13/2020
Ranch 2 Fire,Los Angeles,4237.0,-117.910498,34.160265,Wildfire,10/5/2020,8/13/2020
Clark Fire,Butte,110.0,-121.633994,39.647686,Wildfire,8/14/2020,8/14/2020
Loyalton Fire,Sierra,47029.0,-120.143473,39.702438,Wildfire,8/26/2020,8/14/2020
Whale Fire,San Luis Obispo,312.0,-120.85673100000001,35.472114000000005,Wildfire,8/19/2020,8/15/2020
3-2 Fire,San Luis Obispo,20.0,-120.801074,35.519723,Wildfire,8/17/2020,8/16/2020
Elk Fire,Glenn,727.0,-122.42735800000001,39.52452,Wildfire,8/17/2020,8/16/2020
August Complex (includes Doe Fire),"Mendocino, Humboldt, Trinity, Tehama, Glenn, Lake, Colusa",1032648.0,-122.67299999999999,39.775999999999996,Wildfire,11/11/2020,8/16/2020
Jones Fire,Nevada,705.0,-121.100352,39.29241,Wildfire,8/28/2020,8/17/2020
4-8 Fire,Glenn,275.0,-122.50124609999999,39.555943,Wildfire,8/19/2020,8/17/2020
Murphy Fire,El Dorado,14.0,-120.87654599999999,38.840068,Wildfire,8/19/2020,8/17/2020
CZU Lightning Complex (Including Warnella Fire) ,"Santa Cruz, San Mateo",86509.0,-122.22275,37.171620000000004,Wildfire,9/22/2020,8/16/2020
SCU Lightning Complex,"Santa Clara, Alameda, Contra Costa, San Joaquin, Stanislaus",396624.0,-121.30435,37.439437,Wildfire,10/1/2020,8/18/2020
3-19 Fire,Mendocino,62.0,-123.013667,39.275999999999996,Wildfire,8/21/2020,8/18/2020
Creek Fire,Mendocino,820.0,-123.2111007,39.8174372,Wildfire,8/21/2020,8/18/2020
"LNU Lightning Complex (includes Hennessey, Gamble, 15-10, Spanish, Markley, 13-4, 11-16, Walbridge)","Napa, Sonoma, Lake, Yolo, Solano",363220.0,-122.14863999999999,38.48193,Wildfire,10/2/2020,8/17/2020
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone) ,"Tehama, Glenn",19609.0,-122.4393,40.09571,Wildfire,10/9/2020,8/19/2020
Flint Fire,Calaveras,55.0,-120.85258,38.03106,Wildfire,8/19/2020,8/19/2020
Moc Fire,Tuolumne,2857.0,-120.31256499999999,37.813779,Wildfire,8/30/2020,8/20/2020
Volcano Fire,San Diego,45.0,-117.32823400000001,33.454896000000005,Wildfire,8/22/2020,8/20/2020
Coyote Fire,Santa Clara,143.0,-121.68465,37.18725,Wildfire,8/26/2020,8/21/2020
Sheep Fire ,Plumas,29570.0,-120.757,40.274,Wildfire,9/9/2020,8/22/2020
Woodward Fire,Marin,4929.0,-122.836701,38.018089,Wildfire,10/2/2020,8/18/2020
R-8 Pinecone Fire ,Lassen,567.0,-120.536,40.773,Wildfire,8/31/2020,8/26/2020
Johnson Fire ,Los Angeles,290.0,-118.36411000000001,34.65979,Wildfire,8/30/2020,8/28/2020
Hensley Fire ,Madera,688.0,-119.88673,37.080529999999996,Wildfire,8/30/2020,8/30/2020
Catholic Fire,Lake,13.0,-122.637037,39.012743,Wildfire,9/2/2020,9/1/2020
El Dorado Fire,"San Bernardino, Riverside",22744.0,-116.98669,34.08056,Wildfire,11/16/2020,9/5/2020
Valley Fire,San Diego,16390.0,-116.692705,32.765615000000004,Wildfire,9/24/2020,9/5/2020
Oak Fire,Mendocino,1100.0,-123.3965,39.4935,Wildfire,9/14/2020,9/7/2020
Willow Fire,Yuba,1311.0,-121.32361000000002,39.3637,Wildfire,9/14/2020,9/9/2020
Sperry Fire,Stanislaus,45.0,-121.18018000000001,37.463770000000004,Wildfire,9/9/2020,9/8/2020
Schoolhouse Fire,Siskiyou,45.0,-122.84057,41.68229,Wildfire,9/17/2020,9/9/2020
Shackleford Fire,Siskiyou,50.0,-123.021635,41.575549,Wildfire,9/21/2020,9/11/2020
Bullfrog Fire,Fresno,1185.0,-119.027309,37.135474,Wildfire,11/9/2020,9/12/2020
Fox Fire,Siskiyou,2188.0,-122.84735900000001,41.211022,Wildfire,9/30/2020,9/16/2020
San Antonio Fire ,Santa Barbara,111.0,-120.49159399999999,34.773809,Wildfire,9/18/2020,9/16/2020
Glass Fire,"Napa, Sonoma",67484.0,-122.49745,38.56295,Wildfire,10/20/2020,9/27/2020
Zogg Fire,"Shasta, Tehama",56338.0,-122.56656000000001,40.53927,Wildfire,10/13/2020,9/27/2020
Martindale Fire ,Los Angeles,230.0,-118.4,34.563,Wildfire,9/30/2020,9/28/2020
Candy Fire,Riverside,227.0,-117.37441899999999,33.764357000000004,Wildfire,9/30/2020,9/29/2020
Copper Fire ,Amador,48.0,-121.003602,38.49375,Wildfire,10/3/2020,9/30/2020
Pony Fire,Sacramento,20.0,-121.03923600000002,38.464074,Wildfire,10/4/2020,10/3/2020
Lambert Fire,Amador,21.0,-121.006635,38.424015999999995,Wildfire,10/6/2020,10/4/2020
Fields Fire ,Yuba,56.0,-121.45098200000001,39.181047,Wildfire,10/7/2020,10/7/2020
Irvine Fire,Contra Costa,30.0,-122.10431399999999,37.821737,Wildfire,10/12/2020,10/11/2020
Diamond Fire,Calaveras,21.0,-120.64541000000001,37.98337,Wildfire,10/15/2020,10/13/2020
Bruder Fire,San Bernardino,170.0,-117.13807800000001,34.014728000000005,Wildfire,10/16/2020,10/15/2020
Cameron Fire,El Dorado,15.0,-120.964726,38.659387,Wildfire,10/21/2020,10/18/2020
Ferry Fire,Butte,6.0,-121.54475,39.516940000000005,Wildfire,10/22/2020,10/22/2020
Pope Fire,Napa,61.0,-122.37828,38.561840000000004,Wildfire,10/25/2020,10/23/2020
Olinda Fire,Shasta,5.0,-122.34200000000001,40.41486,Wildfire,10/25/2020,10/25/2020
Silverado Fire ,Orange,12466.0,-117.65718999999999,33.73614,Wildfire,11/7/2020,10/26/2020
Blue Ridge Fire ,Orange,13964.0,-117.675067,33.877257,Wildfire,11/7/2020,10/26/2020
San Dimas Fire,Los Angeles,131.0,-117.77856100000001,34.146195,Wildfire,11/7/2020,11/6/2020
Airport Fire,Riverside,1087.0,-117.62109,33.893351,Wildfire,12/12/2020,12/1/2020
Bond Fire,Orange,6686.0,-117.674967,33.743842,Wildfire,12/10/2020,12/2/2020
Thomas Fire,Lassen,24.0,-120.37451399999999,41.591947999999995,Wildfire,12/3/2020,12/3/2020
Sanderson Fire,Riverside,1933.0,-117.03459,33.93244,Wildfire,12/14/2020,12/13/2020
Erbes Fire,Ventura,250.0,-118.83967,34.20955,Wildfire,1/15/2021,1/14/2021
72 Fire,Riverside,43.0,-116.10723,33.52871,Wildfire,1/20/2021,1/19/2021
Panther Ridge Fire,Santa Cruz,20.0,-122.13372,37.18381,Wildfire,1/22/2021,1/19/2021
Freedom Fire,Santa Cruz,37.0,-121.83627,36.98767,Wildfire,1/22/2021,1/19/2021
